55,1962,Big Ten,2,7,0,0.222,4.77,17.55,,,,N,Pete Elliott,(2-7)
56,1961,Big Ten,0,9,0,0,-7.21,12.23,,,,N,Pete Elliott,(0-9)
57,1960,Big Ten,5,4,0,0.566,13.82,11.49,5,4,,N,Pete Elliott,(5-4)
58,1959,Big Ten,5,3,1,0.611,11.43,9.54,,12,13,N,Ray Eliot,(5-3-1)
59,1958,Big Ten,4,5,0,0.444,9.06,10.72,,,,N,Ray Eliot,(4-5)
60,1957,Big Ten,4,5,0,0.444,11.6,9.49,,15,,N,Ray Eliot,(4-5)
61,1956,Big Ten,2,5,2,0.333,8.43,12.87,20,13,,N,Ray Eliot,(2-5-2)
62,1955,Big Ten,5,3,1,0.611,8.08,5.53,,16,,N,Ray Eliot,(5-3-1)
63,1954,Big Ten,1,8,0,0.111,3.17,11.73,5,5,,N,Ray Eliot,(1-8)
64,1953,Big Ten,7,1,1,0.833,21.17,10.4,,3,7,y,Ray Eliot,(7-1-1)
65,1952,Western,4,5,0,0.444,9.95,9.39,5,2,,N,Ray Eliot,(4-5)
66,1951,Western,9,0,1,0.95,24.08,10.88,10,2,4,Y,Ray Eliot,(9-0-1),Rose Bowl,W
67,1950,Western,7,2,0,0.778,18.18,10.07,8,6,13,N,Ray Eliot,(7-2)
68,1949,Western,3,4,2,0.444,14.41,13.85,,,,N,Ray Eliot,(3-4-2)
69,1948,Western,3,6,0,0.333,9.56,11.89,,,,N,Ray Eliot,(3-6)
70,1947,Western,5,3,1,0.611,17.51,8.95,,5,,No,Ray Eliot,(5-3-1)
71,1946,Western,8,2,0,0.8,23.28,13.78,,5,5,Y,Ray Eliot,(8-2),Rose Bowl,W
72,1945,Western,2,6,1,0.278,8.19,11.53,,,,N,Ray Eliot,(2-6-1)
73,1944,Western,5,4,1,0.55,17.41,12.61,,9,15,N,Ray Eliot,(5-4-1)
74,1943,Western,3,7,0,0.3,6.13,16.13,,,,N,Ray Eliot,(3-7)
75,1942,Western,6,4,0,0.6,8.4,4.7,,5,,N,Ray Eliot,(6-4)
76,1941,Western,2,6,0,0.25,1.18,10.18,,,,N,Robert Zuppke,(2-6)
77,1940,Western,1,7,0,0.125,1.91,11.29,,,,N,Robert Zuppke,(1-7)
78,1939,Western,3,4,1,0.438,1.12,4.24,,,,N,Robert Zuppke,(3-4-1)
79,1938,Western,3,5,0,0.375,1.26,1.51,,,,N,Robert Zuppke,(3-5)
80,1937,Western,3,3,2,0.5,1.15,0.02,,,,N,Robert Zuppke,(3-3-2)
81,1936,Western,4,3,1,0.563,2.21,3.46,,,,N,Robert Zuppke,(4-3-1)
82,1935,Western,3,5,0,0.375,5.64,5.52,,,,N,Robert Zuppke,(3-5)
83,1934,Western,7,1,0,0.875,12.41,4.54,,,,N,Robert Zuppke,(7-1)
84,1933,Western,5,3,0,0.625,13.85,9.35,,,,N,Robert Zuppke,(5-3)
85,1932,Western,5,4,0,0.556,5.31,5.09,,,,N,Robert Zuppke,(5-4)
86,1931,Western,2,6,0,0.25,-2.74,4.64,,,,N,Robert Zuppke,(2-6)
87,1930,Western,3,5,0,0.375,4.25,6.87,,,,N,Robert Zuppke,(3-5)
88,1929,Western,6,1,1,0.813,17.33,4.45,,,,N,Robert Zuppke,(6-1-1)
89,1928,Western,7,1,0,0.875,11.79,-0.84,,,,Y,Robert Zuppke,(7-1)
90,1927,Western,7,O,1,0.938,15.77,3.27,,,,Y,Robert Zuppke,(7-0-1)
91,1926,Western,6,2,0,0.75,11.45,3.57,,,,N,Robert Zuppke,(6-2)
92,1925,Western,5,3,0,0.625,8.98,4.48,,,,N,Robert Zuppke,(5-3)
93,1924,Western,6,1,1,0.813,15.97,3.85,,,,N,Robert Zuppke,(6-1-1)
94,1923,Western,8,0,0,1,18.28,4.28,,,,Y,Robert Zuppke,(8-0)
95,1922,Western,2,5,0,0.286,2.18,7.9,,,,N,Robert Zuppke,(2-5)
96,1921,Western,3,4,0,0.429,8.08,7.36,,,,N,Robert Zuppke,(3-4)
97,1920,Western,5,2,0,0.714,17.29,10,,,,N,Robert Zuppke,(5-2)
98,1919,Western,6,1,0,0.857,17.63,10.05,,,,Y,Robert Zuppke,(6-1)
99,1918,Western,5,2,0,0.714,15.1,4.96,,,,Y,Robert Zuppke,(5-2)
100,1917,Western,5,2,1,0.688,19.53,11.16,,,,N,Robert Zuppke,(5-2-1)
101,1916,Western,3,3,1,0.5,8.01,7.16,,,,N,Robert Zuppke,(3-3-1)
102,1915,Western,5,0,2,0.857,18.13,4.41,,,,N,Robert Zuppke,(5-0-2)
103,1914,Western,7,0,0,1,23.99,3.99,,,,Y,Robert Zuppke,(7-0)
104,1913,Western,4,2,1,0.643,11.29,5.43,,,,N,Robert Zuppke,(4-2-1)
105,1912,Western,3,3,1,0.5,5.23,3.23,,,,N,Arthur Hall,(3-3-1)
106,1911,Western,6,2,1,0.643,4.04,1.04,,,,N,Arthur Hall,(4-2-1)
107,1910,Western,7,0,0,1,9.74,-3.54,,,,Y,Arthur Hall,(7-0)
108,1909,Western,5,2,0,0.714,6.97,-2.6,,,,N,Arthur Hall,(5-2)
109,1908,Western,5,1,1,0.786,9.66,-0.2,,,,N,Arthur Hall,(5-1-1)
110,1907,Western,3,2,0,0.6,2.2,2.6,,,,N,Arthur Hall,(3-2)
111,1906,Western,1,3,1,0.3,-8.25,0.95,,,,N,Justa Lindgren,(1-3-1)
112,1905,Western,5,4,0,0.556,1.03,3.36,,,,N,Fred Lowenthal,(5-4)
113,1904,Western,9,2,1,0.792,14.43,1.76,,,,N,,
114,1903,Western,8,6,0,0.571,6.36,-1.07,,,,N,George Woodruff,(8-6)
115,1902,Western,10,2,1,0.808,14.3,-1.24,,,,N,Edgar Holt,(10-2-1)
116,1901,Western,8,2,0,0.8,15.55,-0.15,,,,N,Edgar Holt,(8-2)
117,1900,Western,7,3,2,0.667,4.64,-1.11,,,,N,Fred Smith,(7-3-2)
118,1899,Western,3,5,1,0.389,-2.41,0.93,,,,N,George Huff,(3-5-1)
119,1898,Western,4,5,0,0.444,-3.25,-4.25,,,,N,George Huff,(4-5)
120,1897,Western,6,2,0,0.75,5.9,-4.85,,,,N,George Huff,(6-2)
121,1896,Western,4,2,1,0.643,4.26,-3.6,,,,N,George Huff,(4-2-1)
122,1895,Ind,4,2,1,0.643,8.29,-3.28,,,,N,George Huff,(4-2-1)
123,1894,Ind,4,3,0,0.571,-0.74,-6.6,,,,N,Louis Vail,(5-3)
124,1893,Ind,3,2,3,0.563,0.05,-2.95,,,,N,E.K. Hall,(3-2-3)
125,1892,Ind,7,4,1,0.625,2.76,-5.83,,,,N,E.K. Hall,(9-3-2)
